Price,Open,High,Low,Close,Volume,returns,volatility,rsi,ma_short,ma_long,ma_trend
2015-03-16,2055.35009765625,2081.409912109375,2055.35009765625,2081.18994140625,3295600000,0.013533671171787054,0.008589080047329967,40.90110493801568,2091.1189880371094,2059.7132006835936,1
2015-03-17,2080.590087890625,2080.590087890625,2065.080078125,2074.280029296875,3221840000,-0.003320173700583018,0.008607805765178018,39.78419007002102,2089.815985107422,2060.034802246094,1
2015-03-18,2072.840087890625,2106.85009765625,2061.22998046875,2099.5,4128210000,0.012158421402569175,0.009329227936568107,47.39597532570812,2089.806988525391,2061.613203125,1
2015-03-19,2098.68994140625,2098.68994140625,2085.56005859375,2089.27001953125,3305220000,-0.004872579408787825,0.009384447048755913,46.535642090765705,2089.3979919433596,2063.3464038085935,1
2015-03-20,2090.320068359375,2113.919921875,2090.320068359375,2108.10009765625,5554120000,0.00901275466979845,0.009570631203298308,47.9424573713245,2089.2879943847656,2064.9904052734373,1
2015-03-23,2107.989990234375,2114.860107421875,2104.419921875,2104.419921875,3267960000,-0.0017457310425351702,0.009503720781494081,49.23571413498478,2089.025994873047,2065.836005859375,1
2015-03-24,2103.93994140625,2107.6298828125,2091.5,2091.5,3189820000,-0.006139421956948832,0.009576138910014074,48.42721607139931,2087.8269958496094,2066.7698046875,1
2015-03-25,2093.10009765625,2097.429931640625,2061.050048828125,2061.050048828125,3521140000,-0.014558905652342857,0.010298332944245342,42.04748814641256,2085.186492919922,2067.42560546875,1
2015-03-26,2059.93994140625,2067.14990234375,2045.5,2056.14990234375,3510670000,-0.002377499996742527,0.009626626327428318,46.66517233166909,2082.4569885253904,2068.0880029296877,1
2015-03-27,2055.780029296875,2062.830078125,2052.9599609375,2061.02001953125,3008550000,0.0023685613495147972,0.009580015930743056,45.87684390217763,2080.282989501953,2069.0830029296876,1
2015-03-30,2064.110107421875,2088.969970703125,2064.110107421875,2086.239990234375,2917690000,0.012236645187396533,0.008896168365425594,59.86864292024732,2078.7254943847656,2070.954401855469,1
2015-03-31,2084.050048828125,2084.050048828125,2067.0400390625,2067.889892578125,3376550000,-0.008795775050879251,0.009280638626019832,56.0734211807708,2076.730987548828,2071.923798828125,1
2015-04-01,2067.6298828125,2067.6298828125,2048.3798828125,2059.68994140625,3543270000,-0.003965371271123064,0.00872755915658313,48.510375261574644,2074.788983154297,2072.6665966796877,1
2015-04-02,2060.030029296875,2072.169921875,2057.320068359375,2066.9599609375,3095960000,0.0035296669586522,0.008605304728273117,53.309909347266945,2073.0849792480467,2073.363395996094,0
2015-04-06,2064.8701171875,2086.989990234375,2056.52001953125,2080.6201171875,3302970000,0.0066088151237357895,0.007974699678442597,49.85060487742431,2073.5529846191407,2073.712800292969,0
2015-04-07,2080.7900390625,2089.81005859375,2076.10009765625,2076.330078125,3065510000,-0.0020619040578628844,0.00794130197598977,50.54496319535214,2073.3979919433596,2074.2030004882813,0
2015-04-08,2076.93994140625,2086.68994140625,2073.300048828125,2081.89990234375,3265330000,0.002682533127767339,0.007204072885961372,44.775572085364935,2075.2849853515627,2074.699196777344,1
2015-04-09,2081.2900390625,2093.31005859375,2074.2900390625,2091.179931640625,3172360000,0.004457481018385057,0.007207683293918674,50.57015542802835,2077.831982421875,2075.931794433594,1
2015-04-10,2091.510009765625,2102.610107421875,2091.510009765625,2102.06005859375,3156200000,0.005202865037342352,0.006910658864063724,48.107051805875635,2079.637487792969,2077.929794921875,1
2015-04-13,2102.030029296875,2107.64990234375,2092.330078125,2092.429931640625,2908420000,-0.00458128059365126,0.007000954410511763,46.37743804298598,2081.5889892578125,2079.3533935546875,1
2015-04-14,2092.280029296875,2098.6201171875,2083.239990234375,2095.840087890625,3301270000,0.0016297588743277025,0.006815210027743064,51.39122581574182,2082.321496582031,2081.3703955078126,1
